joel|password|jhorne@ycp.edu|joel|courier
other|pwd|email@gmail.com|other|courier
testUser1|testPass1|test@gmail.com|testDispatcher1|dispatcher
testUser2|testPass2|test0@gmail.com|testDispatcher2|dispatcher
testUser3|testPass3|test1@gmail.com|testCourier1|courier
testUser4|testPass4|test2@gmail.com|testCourier2|courier
testUser5|testPass5|test3@gmail.com|testCourier3|courier
testUser6|testPass6|test4@gmail.com|testCourier4|courier
testUser7|testPass7|test5@gmail.com|testDispatcher3|dispatcher
testUser8|testPass8|test8@gmail.com|testCourier5|courier
